name,     easting,    northing,    elevation
AASC,     600389.138, 6614931.498,  94.575
FLO3,     600153.479, 6615523.159, 103.808
G010,     599667.953, 6615798.982,  98.851
G011,     599444.854, 6615918.205,  83.046
G012,     599240.344, 6615997.638,  78.864
G013,     599352.856, 6615824.992,  78.528
G014,     599452.748, 6615603.752,  82.244
G015,     599489.549, 6615528.939,  82.759
G36T0827, 598276.516, 6615189.289,  86.270
GCP1,     599315.756, 6615336.569,  70.821
GCP2,     599313.020, 6615385.175,  72.247
GCP3,     599380.778, 6615379.388,  75.578
K001,     599399.136, 6615663.851,  78.626
K002,     599397.755, 6615733.215,  77.076
K003,     599512.746, 6615545.087,  82.923
K004,     599458.438, 6615533.027,  82.720
K005,     599524.513, 6615584.841,  83.665
K016,     598966.705, 6615609.900,  57.591
N007,     600020.956, 6615444.563,  95.544
N008,     600119.039, 6615482.688,  95.771
N009,     600128.116, 6615538.432,  96.365
NMB1,     599809.075, 6615708.451, 103.153
P102,     600043.410, 6615542.322,  97.511
P103,     600011.199, 6615540.593,  98.128
P110,     599958.928, 6615498.817,  97.539
P111,     599821.802, 6615743.203, 105.719
P112,     599772.346, 6615726.406, 103.259
P201,     599514.502, 6615431.013,  78.662
SSIR,     600117.216, 6615572.623,  97.162
